;context;emotion
2;im grabbing a minute to post i feel greedy wrong;anger
4;i am feeling grouchy;anger
12;i think it s the easiest time of year to feel dissatisfied;anger
20;i feel irritated and rejected without anyone doing anything or saying anything;anger
24;i already feel like i fucked up though because i dont usually eat at all in the morning;anger
28;i feel kinda appalled that she feels like she needs to explain in wide and lenghth her body measures etc pp;anger
33;i climbed the hill feeling frustrated that id pretty much paced entirely wrong for this course and that a factor that has never ever hampered me had made such a dent in the day;anger
38;i feel a bit rude writing to an elderly gentleman to ask for gifts because i feel a bit greedy but what is christmas about if not mild greed;anger
49;i stopped feeling cold and began feeling hot;anger
52;i feel selfish and spoiled;anger
65;i feel selfish as i read back to my former posts how i have never asked for prayers for others how i never considered that there may be others out there that deserve their prayers answered before my own;anger
66;i know the pain parents feel when an enraged child becomes violent;anger
79;i feel angered and firey;anger
81;i feel like i need to make a list leanne would be appalled at the thought so that i dont miss anything;anger
82;i drove dannika to school i was feeling a little bit rushed and this is what greeted me as i turned the corner;anger
83;i remember feeling so hellip furious with the shooter;anger
91;im feeling bitter today my mood has been strange the entire day so i guess its that;anger
93;i am letting go of the animosity that is towards anyone that i feel has wronged me;anger
99;i say goodbye to the fam theyre all sad a crying and i feel like a heartless bitch because hey im pretty excited to be flying for the first time and you know also to spend a year in another country;anger
134;i wanted to get a pumpkin spice latte this morning but it was hot and the last thing i wanted was a hot coffee maybe i am feeling a little bitter;anger
137;i also feel like i am being selfish in not being grateful for the life i do have and the amazing things in it;anger
139;i don t know why perhaps because other girls in the office had nice short hair or perhaps i was just feeling rebellious;anger
143;i just feel really violent right now;anger
147;i feel disgusted to even be associated with this woman by my race and nationality;anger
148;i laughed then bitterly again but i wasnt feeling bitter;anger
159;i say whatever comes in my mind tell you directly what i feel a jealous girl not because i m insecure but because i just love that person a trust worthy friend sweet to the one i love;anger
161;im clearly influenced by the dash happiness of emily dickinson for example and i use dashes instead of colons or semi colons to enhance the feelings of rushed enjambment in the sonnet;anger
163;i could claim to redeem the genre but it didn t leave me feeling as entirely frustrated to the point of beating my head against a wall either;anger
171;i know there are days in which you feel distracted;anger
173;im feeling distracted i tend to practice with my eyes shut as much as possible;anger
193;i have to revise my replies over and over again in my mind just to make sure that the reply sounds appropriate enough and that the person who receive the reply will not feel offended;anger
197;im sure its because when i am lost i feel like everyone is being hostile toward me and i hate that feeling;anger
214;id kick myself into gear but i just feel irritable with no motivation what so ever;anger
217;i will start to feel resentful;anger
220;i feel so fucked like everyday of my life;anger
223;i didn t feel like i was being bitchy at the time but upon retrospect why wouldn t he think that i was trying to shake him off;anger
234;i am not monitoring what i have to say about anything if you ever come across any of my blogs and feel offended please dont stop by here again;anger
237;im feeling cranky;anger
252;i feel furious that right to life advocates can and do tell me how to live and die through lobbying and supporting those politicians sympathic to their views;anger
254;im still paying attention but i feel distracted;anger
265;i have my own mind and i feel like my mind is dangerous to my life;anger
282;i feel so impatient so easily annoyed so outraged by the blatant defiance that seems to be olivias most prominent characteristic these days;anger
305;i always spend more money there than i mean to and feel dissatisfied when i exit the store;anger
306;im feeling really quite angry;anger
