;context;emotion
7;i feel as confused about life as a teenager or as jaded as a year old man;fear
19;i now feel compromised and skeptical of the value of every unit of work i put in;fear
21;i am feeling completely overwhelmed i have two strategies that help me to feel grounded pour my heart out in my journal in the form of a letter to god and then end with a list of five things i am most grateful for;fear
31;i remember feeling acutely distressed for a few days;fear
53;i was stymied a little bit as i wrote feeling unsure that i might go somewhere with the story unintended;fear
62;i feel like we are pressured into being young beautiful thin and depending on the trend having the girls rejuvenated or butt implants;fear
63;i began having them several times a week feeling tortured by the hallucinations moving people and figures sounds and vibrations;fear
89;i will be able to lay on my bed in the dark and not feel terrified at least for a while;fear
120;i had begun to feel apprehensive when thick black rain clouds stormed into the sky above town;fear
121;i had stated to her the reason i feel so fearful is because i feel unsafe;fear
122;i didn t feel like getting shaken down by the tsa quite yet so i pulled off to the side at creative croissants for a lunch;fear
128;i think if a poem doesn t put pressure on me i don t feel uncomfortable in the sense of feeling more than i can feel understanding more than i can understand loving more than i am able to be in love;fear
135;i suppose he feels badly because he was a bit skeptical of her pain over the last few months shes had a hyperchondria and exaggeration habit in the past though he never openly questioned her about it;fear
151;i told him that maybe i just need time to think how ive been feeling indecisive about things lately;fear
154;i remember feeling really terrified when i was in brazil on a bus that was going up steep mountain hills on the side of the mountain in the middle of a big storm wondering if we were going to fall off;fear
160;i feel strange coming back to work after my one day holiday;fear
165;im getting the feeling that my classes are a little intimidated by the concept of a lit;fear
169;when i heard a rumour that the st year exam results were out i had fear that i might be one of the failures;fear
175;i specifically wanted tango was feeling shy and maks quite the opposite hard to get far enough away from him to get good pics lol;fear
176;i also didn t feel very weird sleeping in my bed while the two of them slept in hers;fear
183;i feel vulnerable and alone;fear
189;i think im just being stupid feeling nervous;fear
203;i feel now so uncomfortable with all of them i guess is me;fear
205;i wonder sometimes whether i have just added to the antagonism and misunderstanding that many people have towards those of us who feel reluctant to wholeheartedly support the traditional armistice day remembrances;fear
207;i know its an unfair reaction but i have run out of ways to explain how i feel shaken is the best i can come up with right now;fear
210;i am feeling pretty restless right now while typing this;fear
250;i just feel terrified like im on the edge of a precipice staring ahead;fear
275;i am feeling exceptionally reluctant to go to school tomorrow even though its monday and the timetable is pretty good;fear
298;i can understand that you may feel youd rather not do your bit for the vulnerable and homeless in london in that precise way;fear
300;i know im feeling agitated as it is from a side effect of the too high dose;fear
303;fear of thief;fear
326;i always feel intimidated by other people especially when they always compare me to other people ever since i was young;fear
338;i didnt say was that strong feelings always make me skeptical at first;fear
339;i want to talk to you about but with the limited time we have on the phone and with our current arrangment i feel hesitant to bring it up;fear
353;i feel confused after that;fear
358;i could feel the frantic need in him the need to make me his;fear
365;i was a smoker for years and quit weeks ago right after i finished your book and i cant believe how free i feel i knew that i had to quit but i was terrified of my life without cigarettes;fear
367;i am already feeling frantic;fear
