;context;emotion
8;i have been with petronas for years i feel that petronas has performed well and made a huge profit;joy
11;i do feel that running is a divine experience and that i can expect to have some type of spiritual encounter;joy
14;i have immense sympathy with the general point but as a possible proto writer trying to find time to write in the corners of life and with no sign of an agent let alone a publishing contract this feels a little precious;joy
15;i do not feel reassured anxiety is on each side;joy
22;i have the feeling she was amused and delighted;joy
23;i was able to help chai lifeline with your support and encouragement is a great feeling and i am so glad you were able to help me;joy
29;i feel more superior dead chicken or grieving child;joy
30;i get giddy over feeling elegant in a perfectly fitted pencil skirt;joy
34;i can t imagine a real life scenario where i would be emotionally connected enough with someone to feel totally accepted and safe where it it morally acceptable for me to have close and prolonged physical contact and where sex won t be expected subsequently;joy
35;i am not sure what would make me feel content if anything;joy
36;i have been feeling the need to be creative;joy
37;i do however want you to know that if something someone is causing you to feel less then your splendid self step away from them;joy
39;i need you i need someone i need to be protected and feel safe i am small now i find myself in a season of no words;joy
40;i plan to share my everyday life stories traveling adventures inspirations and handmade creations with you and hope you will also feel inspired;joy
41;i already have my christmas trees up i got two and am feeling festive which i m sure is spurring me to get started on this book;joy
42;ive worn it once on its own with a little concealer and for the days im feeling brave but dont want to be pale then its perfect;joy
43;i feel very strongly passionate about when some jerk off decides to poke and make fun of us;joy
46;i lost my special mind but don t worry i m still sane i just wanted you to feel what i felt while reading this book i don t know how many times it was said that sam was special but i can guarantee you it was many more times than what i used in that paragraph did i tell you she was special;joy
48;on a boat trip to denmark;joy
50;i need to feel the dough to make sure its just perfect;joy
54;i bag qaf look who s cryin now jacynthe lookin good feelin gorgeous rupaul the skins scissor sisters valentine the sun fed up kayle who s your daddy gerling awake the unkind u;joy
58;i have this feeling that if i have anymore vigorous sexual activity in the coming yes i misspelt that as cumming days parts of me will begin to fall off;joy
59;i feel my mom s graceful warm loving smile as i rob the time to nurture myself and heal;joy
60;i feel in they talk the brother in law is extremely popular the one that had no me to think is so stiff;joy
69;i was feeling brave when i bought it and clearly when i was doing my makeup;joy
72;i don t necessarily think f bombs and sex are necessary in all stories but i feel reassured when i see them in print journals;joy
76;i did successfully manage to stretch a mxm canvas i feel that this is an achievement in itself for me and was a worthwhile usage of my money and time i will use the canvas for future briefs;joy
77;i think feelings are one of nay the most important things we have;joy
78;i feel completely honored to be an influence to this young talented fully alive beautiful girl woman;joy
84;i feel very happy and excited since i learned so many things;joy
85;i feel that at shows and around show horses people are trusting and relaxed because most show horses are safe and quiet and are handled frequently;joy
86;i only have a couple of things left to make and at the start of december i am done and feeling smug;joy
87;i think about how u could make me feel and realize that everything will be ok;joy
96;im starting to feel wryly amused at the banal comedy of errors my life is turning into;joy
97;i find every body beautiful and only want people to feel vital in their bodies;joy
101;i alba i feel good and im fitting in;joy
102;i feel excited about what im doing again i feel like i have a ton of catching up to do;joy
103;i also know how good it feels to look back and see that i honored my word and that helps from the start;joy
105;i feel like things are getting a little overwhelming a few spritz of this toner really helps calm and soothe me;joy
106;i hope that you realize how such little effort is required to make a person feel better about themselves or their situation whether its me a family member a college or high school friend a neighbor down the street or even a complete stranger;joy
107;i am feeling so festive today that i m even going to put the tree up as soon as i ve finished doing this and catching up with the week s goings ons on coronation street;joy
108;finding out that i am not ill not seriously;joy
110;i feel it rarely advances any worthwhile cause and i always stick to the rule of not posting anything online that i wouldnt be prepared to say to somebodys face;joy
111;i am feeling all useful;joy
115;i dance i should feel pretty;joy
116;i workout every morning before and feel fabulous for it;joy
118;i was feeling fabulous until friday morning when i started to get these awful cramps at work;joy
119;i feel honoured to have been able to call them friends to share their brotherhood;joy
125;i feel they are pretty safe on my blog img src http s;joy
126;i feel pretty eager to get it done as i have a fun plan for quilting it;joy
130;i left to the shower questioning what i feel she was gorgeous such a fantastic body so confident in her movement effortlessly graceful;joy
