;context;emotion
0;i didnt feel humiliated;sadness
1;i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake;sadness
5;ive been feeling a little burdened lately wasnt sure why that was;sadness
10;i feel like i have to make the suffering i m seeing mean something;sadness
13;i feel low energy i m just thirsty;sadness
16;i didnt really feel that embarrassed;sadness
17;i feel pretty pathetic most of the time;sadness
18;i started feeling sentimental about dolls i had as a child and so began a collection of vintage barbie dolls from the sixties;sadness
25;i still love my so and wish the best for him i can no longer tolerate the effect that bm has on our lives and the fact that is has turned my so into a bitter angry person who is not always particularly kind to the people around him when he is feeling stressed;sadness
26;i feel so inhibited in someone elses kitchen like im painting on someone elses picture;sadness
27;i become overwhelmed and feel defeated;sadness
44;i was feeling so discouraged we are already robbing peter to pay paul to get our cow this year but we cant afford to not get the cow this way;sadness
45;i was feeling listless from the need of new things something different;sadness
51;i found myself feeling a little discouraged that morning;sadness
55;i feel you know basically like a fake in the realm of science fiction;sadness
56;i hate living under my dads roof because it gives him an excuse to be an asshole to me because hes providing for me to live here i think he feels that he needs to make me feel as unwelcome as possible so ill leave;sadness
67;i have been on a roller coaster of emotions over these supposed feelings that something unpleasant was coming;sadness
70;i am feeling miserable but c i am also the proudest mum on earth;sadness
71;i figure my family loves us no matter what but around anyone else i feel embarrassed when michelle goes ballistic;sadness
73;i can feel my ovaries aching talking to me as i like to put it;sadness
74;i didn t feel like doing much chris and i mostly just took too many pictures of unimportant stuff;sadness
75;im tired of the book and ready to have it out of here and finding out that i was given unsuitable images and then feeling blamed for the result did not sit well;sadness
80;i feel like a miserable piece of garbage;sadness
88;i feel so worthless during those times i was struggling finding work;sadness
92;when my mums brother passed away after having been involved in a car accident he was bringing me a present as i had passed my form five exams with flying colours;sadness
95;i feel like throwing away the shitty piece of shit paper;sadness
98;i hear are owners who feel victimized by their associations the associations attorneys or the property manager;sadness
104;i mean really really hard works to obtain such a high technical skill in wushu feel kinda ashamed but somehow motivated when i saw kids doing wushu performances whole heartedly despite their tiredness;sadness
109;i did alright in class but a combination of feeling unsuccessful being man handled the stress of late and my horrible week resulted in my almost crying after i finished grappling;sadness
